Employee,L,Ma,Mi,J,V
E0,none,none,D2,none,none
E1,none,D2,D6,none,none
E2,D8,D8,D1,none,none
E3,D6,none,D4,none,none
E4,D2,D4,none,none,none
E5,none,D7,none,D2,none
E6,none,none,D7,D4,none
E7,none,D5,none,none,none
E8,none,none,none,D1,D4
E9,none,D6,none,none,none
E10,D5,D1,none,none,none
E11,D7,none,none,none,D0
E12,none,none,D0,D8,none
E13,none,none,none,none,D3
E14,D0,D3,D3,none,none
E15,none,none,none,none,D5
E16,D4,none,D8,none,none
E17,D1,none,D5,none,D2
E18,none,D0,none,D0,D8
E19,none,none,none,D3,D7
