Employee,L,Ma,Mi,J,V
E0,none,D21,D26,none,D29
E1,none,D10,D7,D3,none
E2,none,none,none,none,none
E3,D41,D33,D25,D5,none
E4,D0,none,none,D4,none
E5,none,none,D24,none,D12
E6,D35,none,none,D27,D16
E7,none,none,none,D28,D17
E8,none,none,D23,none,D15
E9,none,none,D21,D10,none
E10,D33,none,D22,none,none
E11,none,D8,none,none,none
E12,none,D1,D38,D1,D6
E13,D30,D36,D36,D2,D30
E14,none,none,none,D15,D4
E15,none,none,none,D0,D31
E16,none,D37,none,D14,D37
E17,D32,none,D37,none,none
E18,D42,D44,none,D34,none
E19,D29,none,D29,none,D20
E20,none,D34,none,none,none
E21,D34,none,none,none,none
E22,none,none,D3,D33,none
E23,D28,none,D18,none,none
E24,none,none,none,D17,D34
E25,D26,none,none,none,D35
E26,D25,none,none,none,none
E27,D8,none,none,none,D24
E28,none,none,D34,D13,D8
E29,none,none,none,none,none
E30,D21,none,D41,none,none
E31,none,D39,none,D36,none
E32,D23,none,none,D37,none
E33,D24,D40,none,none,D25
E34,D7,none,D9,none,none
E35,none,none,D10,none,none
E36,D16,none,D4,none,none
E37,none,D18,none,none,D41
E38,D15,none,none,D32,none
E39,none,D19,D30,D19,D18
E40,D17,none,none,D31,none
E41,none,none,D31,none,D32
E42,none,D16,D19,none,none
E43,none,none,none,D7,none
E44,none,D15,D0,none,none
E45,D31,none,D20,D20,none
E46,none,none,D11,D26,none
E47,D10,none,D33,D43,D7
E48,none,D9,none,D6,none
E49,none,D2,none,none,D23
E50,none,none,D2,none,D0
E51,D44,none,D35,D16,D42
E52,none,D42,D1,none,D44
E53,none,D11,none,D8,none
E54,none,D22,none,none,D5
E55,D19,none,D14,D29,none
E56,none,none,D13,none,D13
E57,D18,D20,none,none,D14
E58,D20,none,none,none,D28
E59,D13,none,none,none,D33
E60,none,D28,D8,D9,none
E61,none,none,none,none,D36
E62,none,none,D6,D35,none
E63,D39,none,none,D11,D39
E64,D27,D27,none,none,none
E65,none,D32,none,none,D43
E66,D36,D30,D42,D30,D27
E67,D2,none,none,none,D1
E68,D37,D31,none,none,none
E69,D38,none,D43,none,none
E70,none,D23,D16,D44,D10
E71,none,D7,none,none,D11
E72,none,none,none,none,D9
E73,D6,none,D5,none,none
E74,D3,D41,D12,D42,D3
E75,D40,D29,none,D40,none
E76,none,none,none,none,D2
E77,none,D17,D17,none,none
E78,D14,none,none,D39,none
E79,D12,none,none,D41,D40
E80,D9,D26,none,none,none
E81,none,none,none,D24,none
E82,none,D24,none,D25,none
E83,none,none,none,D12,D22
E84,D22,none,D15,none,none
E85,none,none,none,D38,D38
E86,none,none,none,none,D21
E87,none,D25,D39,none,none
E88,none,none,D40,none,none
E89,D11,D38,none,none,none
E90,D1,none,D32,none,none
E91,none,D5,D27,none,none
E92,none,none,D28,none,D26
E93,D43,D4,none,none,none
E94,none,D3,none,D18,none
E95,none,D43,none,D23,none
E96,D4,none,none,none,D19
E97,none,none,D44,D21,none
E98,D5,none,none,D22,none
E99,none,D13,none,none,none
