Employee,L,Ma,Mi,J,V
E0,none,D41,none,none,none
E1,none,none,none,D38,D30
E2,D4,D40,none,none,D32
E3,none,D4,D32,none,none
E4,D22,none,D21,D37,D17
E5,D28,D39,D29,D13,none
E6,D27,D27,D30,none,D9
E7,D5,none,none,D25,D11
E8,none,none,none,D7,none
E9,none,D25,none,none,none
E10,none,D24,none,D24,none
E11,none,D44,D13,D28,none
E12,none,D12,none,D20,D19
E13,D40,none,D40,none,none
E14,D41,D26,D41,none,none
E15,none,D22,none,none,D20
E16,none,D14,none,none,D3
E17,none,none,none,D18,D31
E18,none,D18,none,D14,none
E19,none,none,D28,none,D7
E20,none,D20,none,none,none
E21,none,none,D16,none,D8
E22,none,none,D27,none,none
E23,D42,none,none,none,D6
E24,none,none,D19,none,D13
E25,D29,none,none,D41,none
E26,D34,D42,D0,none,none
E27,none,D43,D12,none,none
E28,D26,none,D14,D23,D26
E29,D33,none,none,none,D25
E30,D15,none,D2,none,none
E31,D16,none,D1,D1,D1
E32,D17,none,D5,none,none
E33,none,D2,D43,D27,none
E34,none,none,none,D21,none
E35,D39,D19,none,none,none
E36,none,none,none,none,D33
E37,D35,none,D35,D15,D35
E38,none,none,D34,none,D34
E39,D32,none,none,none,D4
E40,none,none,D23,D4,none
E41,D31,none,D33,D36,none
E42,D23,none,D11,D0,D15
E43,none,D7,none,none,D41
E44,D25,none,none,D33,none
E45,none,none,D10,none,D43
E46,none,D6,none,none,D18
E47,D2,none,none,D2,none
E48,D0,none,none,D40,none
E49,D21,none,none,D39,none
E50,D24,D23,none,none,none
E51,D43,D15,none,none,none
E52,none,none,D37,none,D5
E53,D1,none,D31,none,none
E54,none,none,D24,none,D40
E55,none,none,none,D29,none
E56,none,none,D7,none,D23
E57,D3,none,D6,none,none
E58,D7,none,none,D44,none
E59,none,D8,D8,none,none
E60,none,D30,none,D30,none
E61,none,none,none,D22,D38
E62,D12,D33,none,none,none
E63,none,D31,D26,none,none
E64,D44,D32,D36,D32,D44
E65,D19,none,none,none,D0
E66,D20,none,none,none,D27
E67,none,none,none,D5,D2
E68,none,D5,none,none,none
E69,D18,none,none,D3,D16
E70,D10,D9,none,D12,none
E71,D9,none,none,none,none
E72,none,none,none,D16,D24
E73,D11,D16,D44,D6,D37
E74,none,D35,D42,none,none
E75,none,D1,none,none,none
E76,none,none,D39,none,none
E77,D38,none,none,none,D10
E78,none,D28,D22,none,none
E79,D36,D29,D38,D17,D39
E80,D6,none,D20,D19,none
E81,D8,none,none,D43,none
E82,none,D37,none,D31,none
E83,none,none,D18,none,D14
E84,none,none,none,D42,D12
E85,none,none,none,D9,none
E86,none,D38,D9,D26,D29
E87,none,D36,none,none,D36
E88,D14,none,none,D10,none
E89,none,none,none,D11,D28
E90,none,none,none,none,D21
E91,none,none,none,D8,none
E92,none,none,D15,none,D22
E93,none,D21,D17,none,none
E94,D13,none,D25,none,none
E95,none,D0,D4,none,none
E96,none,none,none,D34,D42
E97,D30,D11,none,none,none
E98,D37,none,none,D35,none
E99,none,D10,D3,none,none
