Employee,L,Ma,Mi,J,V
E0,D1,D13,D6,none,none
E1,D3,none,D4,none,D12
E2,D4,D0,D7,none,none
E3,none,none,D5,none,D15
E4,none,D4,D8,none,none
E5,none,none,D9,D7,none
E6,none,none,none,none,none
E7,D0,none,none,none,D16
E8,none,D15,D3,none,D13
E9,D6,D5,D18,D5,none
E10,D8,D17,D17,none,none
E11,D9,D14,none,D8,none
E12,none,none,none,none,none
E13,D2,D2,none,none,none
E14,D7,D16,none,none,D10
E15,D5,none,none,D18,none
E16,none,D18,none,D19,D18
E17,none,none,none,D2,D1
E18,none,none,D16,D15,none
E19,D11,none,D15,D16,none
E20,none,none,none,D6,none
E21,D10,D19,D2,none,D17
E22,none,none,none,D9,D9
E23,none,none,D11,none,D19
E24,D12,D1,D12,none,D2
E25,D13,none,none,none,none
E26,none,D11,D13,none,none
E27,none,none,D14,D3,none
E28,D14,D10,D10,none,none
E29,none,D3,none,D0,D0
E30,none,none,none,D1,none
E31,D19,none,none,D4,D3
E32,none,D6,D19,none,D6
E33,none,D12,D1,none,D8
E34,D17,none,none,D12,none
E35,D18,D9,none,D17,none
E36,none,D8,none,none,none
E37,D15,D7,none,D13,D5
E38,none,none,none,D11,none
E39,none,none,D0,D10,D7
