Employee,L,Ma,Mi,J,V
E0,D10,none,none,none,D10
E1,D2,D34,none,none,none
E2,none,D35,D37,D29,none
E3,D8,none,none,D30,D28
E4,none,D33,none,none,none
E5,none,none,D13,D16,none
E6,D9,none,none,none,D31
E7,none,D17,D9,D4,D13
E8,none,none,D25,D6,none
E9,D7,D16,none,none,none
E10,none,none,none,D19,D15
E11,none,none,none,D28,D14
E12,none,none,D10,D39,none
E13,none,none,D11,D7,none
E14,none,none,D4,none,D12
E15,D19,D38,none,none,none
E16,none,D22,none,none,none
E17,none,D39,D5,none,D24
E18,D17,none,none,none,none
E19,D18,none,D12,none,none
E20,D0,D36,none,none,none
E21,none,none,none,D10,none
E22,none,D7,D34,D11,none
E23,D15,D4,D35,D38,none
E24,none,D32,none,none,D29
E25,none,D5,D32,none,none
E26,D27,none,none,D8,none
E27,none,D27,none,none,D18
E28,D24,D21,none,D21,D38
E29,D1,none,D1,none,none
E30,none,none,none,D23,D0
E31,none,D18,none,none,D37
E32,none,none,D3,D22,none
E33,D26,none,none,D20,D4
E34,D25,D23,D2,D31,none
E35,D13,none,none,none,none
E36,none,D20,none,D27,none
E37,none,D31,none,none,D34
E38,none,none,none,D9,D33
E39,none,D29,D31,none,none
E40,none,D30,none,D13,D32
E41,none,none,D30,none,D35
E42,D37,D25,D16,D34,D16
E43,D31,none,none,none,D19
E44,D36,none,none,D33,none
E45,D39,none,none,D5,none
E46,none,none,D6,none,none
E47,D38,D13,none,none,D17
E48,none,none,none,D32,none
E49,D14,none,D17,D26,none
E50,none,none,none,none,D20
E51,none,D28,none,D25,none
E52,none,none,D15,none,D21
E53,none,none,D27,D24,none
E54,D30,D1,D29,none,D30
E55,D12,none,D33,none,D22
E56,D33,D10,D21,none,D9
E57,none,D11,D28,none,none
E58,none,D9,none,none,D5
E59,D35,none,none,D35,none
E60,D32,none,none,none,none
E61,none,none,D7,none,D8
E62,none,none,none,none,D11
E63,none,D0,none,D18,none
E64,D3,D3,none,none,D26
E65,none,none,D36,none,D25
E66,D22,D6,D38,none,D27
E67,none,D2,D39,D17,D6
E68,none,none,none,none,D39
E69,none,D14,none,D12,none
E70,D29,D15,none,D15,none
E71,D28,D24,none,none,none
E72,none,D12,none,none,D36
E73,none,D26,none,D14,none
E74,none,none,D23,D36,none
E75,none,D19,D22,D1,none
E76,none,none,none,D3,D2
E77,D11,D37,D20,D37,none
E78,none,none,D0,D0,D23
E79,none,D8,none,D2,none
