Employee,L,Ma,Mi,J,V
E0,none,D22,none,D0,D9
E1,D32,D21,D14,D8,none
E2,none,D20,none,D2,none
E3,none,D3,none,none,D8
E4,D31,D10,D16,none,D7
E5,D34,none,D12,none,none
E6,none,none,D17,D4,none
E7,none,D5,none,none,D10
E8,none,D2,D27,D27,none
E9,D30,none,D28,D26,none
E10,D9,none,none,D6,D27
E11,D13,none,D29,none,D26
E12,none,D4,D26,none,none
E13,none,D1,none,D25,none
E14,D14,none,D9,none,none
E15,D15,D0,none,D29,D29
E16,D11,none,D23,none,none
E17,none,none,D21,D1,D32
E18,D10,D33,D20,D5,D31
E19,D8,none,D19,D3,none
E20,none,D26,D18,none,none
E21,none,none,none,D24,none
E22,none,D27,D22,none,none
E23,none,none,none,none,D33
E24,D18,none,none,none,D17
E25,D21,none,none,D34,none
E26,D22,D7,none,none,none
E27,D20,D6,none,D32,none
E28,D19,none,none,none,D28
E29,none,D30,none,D30,none
E30,D23,D25,D25,D31,D25
E31,none,none,D24,D33,D24
E32,D7,none,none,none,D19
E33,none,D19,none,none,D22
E34,none,D18,D34,D12,none
E35,none,D15,none,none,D30
E36,D6,none,D32,none,none
E37,D1,none,D31,D18,none
E38,none,D23,none,none,none
E39,D3,none,D0,none,none
E40,none,none,D15,D22,none
E41,none,none,D1,none,D1
E42,D26,D11,none,none,none
E43,D33,D8,D5,none,none
E44,D27,D31,D2,none,D4
E45,D24,D9,none,D21,none
E46,D5,D16,none,D16,D14
E47,none,D14,D10,D23,D16
E48,none,D17,none,none,D13
E49,D12,none,D7,none,none
E50,none,D12,none,D15,none
E51,D4,D13,D8,D20,none
E52,D0,none,D11,none,D15
E53,D25,none,none,none,D3
E54,none,none,D33,D11,none
E55,D2,D24,none,none,none
E56,D29,none,D3,none,none
E57,none,D29,D30,none,none
E58,D28,D28,D4,D10,D2
E59,D17,none,none,none,D5
