Employee,L,Ma,Mi,J,V
E0,D15,D5,D17,D3,none
E1,D17,none,none,none,D29
E2,D16,none,none,D4,none
E3,none,D4,none,D26,none
E4,none,none,none,D27,D24
E5,none,D1,none,D25,D28
E6,none,D2,D15,D29,none
E7,D12,D0,D16,D28,none
E8,D18,none,D28,none,none
E9,none,none,D5,D1,none
E10,D21,none,none,D24,none
E11,D22,none,D26,none,D33
E12,none,none,D27,none,D32
E13,none,none,D9,none,D31
E14,D20,D16,none,none,none
E15,none,none,none,none,D30
E16,none,none,D14,none,D14
E17,none,D17,D13,none,D15
E18,none,none,D0,D32,D16
E19,D13,D13,none,none,none
E20,D27,none,D22,none,none
E21,D14,D14,D12,none,D13
E22,none,none,none,none,D12
E23,D25,none,D8,none,D9
E24,none,none,none,D15,D5
E25,D8,none,D34,none,D4
E26,D9,none,none,D17,D1
E27,D7,none,none,none,D0
E28,none,none,D33,D14,D3
E29,none,none,D30,D16,none
E30,D10,none,none,D12,none
E31,D19,none,D31,D13,none
E32,none,D24,D18,none,D22
E33,D0,none,none,D7,D18
E34,D29,D26,D19,D21,none
E35,none,none,D23,D23,D20
E36,none,none,none,D20,D21
E37,none,D3,D20,D19,none
E38,D3,none,D21,D18,none
E39,D30,none,none,D9,none
E40,D23,none,D10,none,D7
E41,D33,D30,D6,D6,D6
E42,D26,none,none,D0,none
E43,none,D32,D11,none,D10
E44,D28,none,none,D8,D11
E45,D6,none,none,D10,none
E46,D24,D9,D24,none,D8
E47,none,D8,D25,none,D23
E48,none,none,D29,none,D17
E49,D11,D11,D7,D11,D19
E50,D32,D6,none,none,none
E51,D31,D7,none,none,none
E52,D34,none,D32,none,none
E53,none,D15,D2,none,none
E54,D4,none,none,none,D26
E55,D2,D31,D1,D31,D2
E56,D5,none,D3,D30,none
E57,none,D34,none,D34,none
E58,D1,D33,D4,none,none
E59,none,none,none,D33,none
