Employee,L,Ma,Mi,J,V
E0,none,none,none,D4,none
E1,none,none,D3,none,D8
E2,none,none,D0,D0,none
E3,none,none,none,none,D5
E4,none,none,D2,none,none
E5,D5,none,none,none,none
E6,none,D8,D8,none,D7
E7,D7,D6,D6,none,D6
E8,D6,D5,D5,none,none
E9,D8,D7,none,none,none
E10,none,none,D1,D6,D1
E11,D3,D1,none,none,D0
E12,none,none,none,none,D3
E13,none,none,none,D8,D4
E14,none,none,D7,D7,none
E15,none,none,none,D1,none
E16,D0,D3,none,D3,none
E17,D2,D4,none,D5,none
E18,none,D2,D4,D2,none
E19,none,D0,none,none,D2
